"Yes","Yes"
"No","No"
"VerifiedReviews","EchteBeoordelingen"
"Product Reviews","Productbeoordelingen"
"Number of reviews","Aantal beoordelingen"
"Average rating","Gemiddeld cijfer"
"View the trust certificate","Certificaat van betrouwbaarheid weergeven"
"More Reviews...","Meer reviews..."
"No reviews for this product.","Geen reviews voor dit product"
"the","de"
"d/m/Y","d/m/Y"
"Comments of","Opmerkingen van"
"on","op"
"review(s)","beoordeling(en)"
"review","beoordeling"
"Review","Beoordeling"
"reviews","beoordelingen"
"Reviews","Beoordelingen"
"See the review(s)","De beoordeling(en) weergeven"
"Based on","Gebaseerd op"
"customer(s) reviews","Klant(en) beoordelingen"
"Anonymous A.","Anonieme klant"
"Anonymous a.","Anonieme klant"
"anonymous a.","Anonieme klant"
"anonymous A.","Anonieme klant"
"anonymous  .","Anonieme klant"
"anonymous ","Anonieme klant"
"anonymous","Anonieme klant"
"Anonymous  .","Anonieme klant"
"Anonymous ","Anonieme klant"
"Anonymous","Anonieme klant"
"Verified Reviews","Echte Beoordelingen"
"Verified Reviews v.3.9.3","Echte Beoordelingen v.3.9.3"
"Export orders (CSV file)","Beoordelingen exporteren (CSV-bestand)"
"Installation Status","Installatie Status"
"Configuration","Configuratie"
"General Configuration","Algemene configuratie"
"IMPORTANT: BEFORE ALL PLEASE SELECT THE STORE TO CONFIGURE IN THE TOP-LEFT MENU.","BELANGRIJK: VOORDAT U ALLE PRODUCTEN SELECTEERT, MOET U IN HET BOVEN MENU MENU CONFIGUREREN."
"Enable Module in this view","Module inschakelen in deze weergave"
"By activating the module, you will reap your website and product reviews. Go to the advanced configuration if you want to change the product reviews configuration.","Door de module te activeren, zult u uw website en productrecensies ophalen. Ga naar de geavanceerde configuratie als u de configuratie van de productrecensies wilt wijzigen."
"Secret Key","Geheime sleutel"
"Website ID","Website ID"
"Advanced Configuration","Geavanceerde configuratie"
"Add reviews to product page","Beoordelingen toevoegen aan product pagina"
"This configuration is used to add the product reviews block in the product page.","Deze configuratie wordt gebruikt om het productrecensiesblok op de productpagina toe te voegen."
"jQuery present on the site?","JQuery aanwezig op de site?"
"Change this to yes, if jQuery is already used on the site.","Verander dit naar ja, als jQuery al op de site is gebruikt."
"Activate the Rich-Snippets in the product page","De Rich-Snippets activeren op de product pagina"
"Use the SKU or the ID to identify products","Gebruik de SKU of de ID om producten te identificeren"
"ATTENTION! OPTION ONLY RESERVED FOR VERIFIED-REVIEWS TEAM. Change it only if our team contact you.","LET OP! OPTION ONLY RESERVERED FOR VERIFIED-REVIEWS TEAM. Wijzig het alleen als ons team contact met u opneemt."
"Use the data of the Parent product.","Gebruik de gegevens van het ouderlijke product."
"Google Shopping - Product Data (PLA)","Google Shopping - Product Gegevens (PLA)"
"Fields Mapping","Velden Mapping"
"IMPORTANT: Before all please select the STORE where you already configured the module, otherwise Google Shopping won't recognize your product data. Then UNCHECK ONLY THE FIELDS that you are sure to get extra product data for Google Shopping.","BELANGRIJK: Voor altijd selecteer DE STORE waar u de module configureder, anders zal Google Shopping uw productgegevens niet herkennen. Vervolgens SLECHTS DE GEBIEDEN VERKOCHT, dat u zeker extra productgegevens voor Google Shopping krijgt."
"Google Shopping PLA can only be configured in STORES view, please select in the top-left menu the STORE that you want to configure.","Google Shopping PLA kan alleen in STORES worden geconfigureerd, selecteer in het linkerbovenste menu de STORE die u wilt configureren."
"ID","ID"
"WARNING! ID is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WAARSCHUWING! ID is al bij uw producten, verander het alleen als u er zeker van bent dat de module een verkeerde gegevens verzamelt."
"SKU","SKU"
"WARNING! SKU is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WAARSCHUWING! SKU is al bij uw producten, verander het alleen als u er zeker van bent dat de module een verkeerde gegevens verzamelt."
"Short description (product name)","Korte beschrijving (productnaam)"
"WARNING! SHORT DESCRIPTION is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WAARSCHUWING! KORT BESCHRIJVING is al bij uw producten, verander het alleen als u er zeker van bent dat de module een verkeerde gegevens verzamelt."
"Link","Link"
"WARNING! PRODUCT LINK is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WAARSCHUWING! PRODUCTLINK is al bij uw producten, verander het alleen als u er zeker van bent dat de module een verkeerde gegevens verzamelt."
"Image link","Productbeelds link"
"WARNING! PRODUCT IMAGE LINK is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WAARSCHUWING! PRODUCTBEELDSLINK is al bij uw producten, verander het alleen als u er zeker van bent dat de module een verkeerde gegevens verzamelt."
"Brand","Merk"
"Category","Categorie"
"mpn","mpn"
"gtin_upc","gtin_upc"
"gtin_ean","gtin_ean"
"gtin_jan","gtin_jan"
"gtin_isbn","gtin_isbn"
"Extra Info 1","Extra Info 1"
"Extra Info 2","Extra Info 2"
"Extra Info 3","Extra Info 3"
"Extra Info 4","Extra Info 4"
"Extra Info 5","Extra Info 5"
"Extra Info 6","Extra Info 6"
"Extra Info 7","Extra Info 7"
"Extra Info 8","Extra Info 8"
"Extra Info 9","Extra Info 9"
"Extra Info 10","Extra Info 10"
"No rich-snippets","Geen rich-snippets"
"Rich-snippets using microdata format","Rich-snippets met microdata formaat"
"Store views","Winkelbezoeken"
"Store views title","Bekijk titel Store"
"Before all please select the store to export orders.","Alstublieft selecteer de winkel om orders uit te voeren."
"Order status","Bestelstatus"
"Keep all the options unchecked to get orders from all status.","Houd alle opties ongemarkeerd om orders van alle status te krijgen."
"From","Van"
"Leave it empty to get orders from the beginning of time.","Laat het leeg om orders te krijgen vanaf het begin van de tijd."
"To","Tot"
"Leave it empty to use the current date.","Laat het leeg om de huidige datum te gebruiken."
"Request product reviews?","Vraag productrecensies aan?"
"It add product information to orders.","Het voegt productinformatie toe aan bestellingen."
"Export File","Export bestand"
"Back","Terug"
"Reset","Reset"
"There are no reviews for this product yet.","Er zijn nog geen beoordelingen voor dit product."
"Moderator","Moderator"
"Merchant","Handelaar"
"Response from","Antwoord van"
"Display exchanges","Uitwisselingen weergeven"
"Hide exchanges","Verberg uitwisselingen"
"Was this review helpful ?","Was deze beoordeling nuttig ?"
"Sort reviews","Sorteer beoordelingen"
"Newests","Newests"
"Oldests","Oldests"
"Highest ratings","Hoogste beoordelingen"
"Lowest ratings","Laagste beoordelingen"
"Most useful","Meest nuttig"
"An error has occurred.","Er is een fout opgetreden."
"Thank you, your vote will soon be published.","Bedankt, je stem zal binnenkort worden gepubliceerd."
"Use tiny responsive design in product reviews","Gebruik een klein responsief ontwerp in productrecensies"
"This will hide the graph filters. Select Yes only if the product reviews are displaying in a small block (for example: 400px).","Hiermee worden de grafiekfilters verborgen. Selecteer Ja alleen als de productrecensies in een klein blokje worden weergegeven (bijvoorbeeld 400px)."
"logo_full_en","logo_full_nl"﻿
"Reviews subject to control","Recensies onder voorbehoud"
"For further information on the nature of the review controls, as well as the possibility of contacting the author of the review please consult our","Raadpleeg onze website voor meer informatie over de aard van de beoordelingsmaatregelen en de mogelijkheid om contact op te nemen met de auteur van de beoordeling"
"GCU","GCU"
"No inducements have been provided for these reviews","Er zijn geen aansporingen verstrekt voor deze beoordelingen"
"Reviews are published and kept for a period of five years","Reviews are published and kept for a period of five years"
"Reviews can not be modified: If a customer wishes to modify their review then they can do so by contacting Verified Reviews directly to remove the existing review and publish an amended one","Recensies kunnen niet worden gewijzigd: als een klant zijn beoordeling wil wijzigen, dan kunnen ze dit doen door rechtstreeks contact op te nemen met geverifieerde beoordelingen om de bestaande beoordeling te verwijderen en een gewijzigde recensie te publiceren"
"The reasons for deletion of reviews are available","De redenen voor het verwijderen van recensies zijn beschikbaar"
"here","hier"
"published","gepubliceerd"
"following an order made on","na een bestelling geplaatst op"
"verified-reviews.com","echte-beoordelingen.com"
"Echte-Beoordelingen can only be configured in WEBSITES or STORES, please select in the top-left menu the website or store that you want to configure.","Verified-reviews kunnen alleen in STORES worden geconfigureerd, selecteer in het menu links bovenaan de winkel die u wilt configureren."
"The orders originated from a physical store (Offline orders)","The orders originated from a physical store (Offline orders)"
"Orders are considered to be labelled as Offline, if they have been made in a physical store. If you choose &quot;No&quot; the orders will be considered as online orders. The default value is &quot;No&quot;.","Orders are considered to be labelled as Offline, if they have been made in a physical store. If you choose &quot;No&quot; the orders will be considered as online orders. The default value is &quot;No&quot;."
