"Yes","Ja"
"No","Nein"
"VerifiedReviews","Echte Bewertungen"
"Product Reviews","Produktbewertungen"
"Number of reviews","Anzahl der Bewertungen"
"Average rating","Durchschnittsnote"
"View the trust certificate","Vertrauenszertifikat anzeigen"
"More Reviews...","Weitere Kommentare..."
"No reviews for this product.","Keine Bewertungen für dieses Produkt."
"the","am"
"d/m/Y","d/m/Y"
"Comments of","Kommentar von"
"on","zu"
"review(s)","bewertung(en)"
"review","bewertung"
"Review","Bewertung"
"reviews","bewertungen"
"Reviews","Bewertungen"
"See the review(s)","Bewertungen ansehen"
"Based on","Basierend auf"
"customer(s) reviews","kundenbewertungen"
"Anonymous A.","Anonymer Kunde"
"Anonymous a.","Anonymer Kunde"
"anonymous a.","Anonymer Kunde"
"anonymous A.","Anonymer Kunde"
"anonymous  .","Anonymer Kunde"
"anonymous ","Anonymer Kunde"
"anonymous","Anonymer Kunde"
"Anonymous  .","Anonymer Kunde"
"Anonymous ","Anonymer Kunde"
"Anonymous","Anonymer Kunde"
"Verified Reviews","Echte Bewertungen"
"Verified Reviews v.3.8.8","Echte Bewertunge v.3.8.8"
"Export orders (CSV file)","ExportBestell (CSV-Datei)"
"Installation Status","Installationsstatus"
"Configuration","Konfiguration"
"General Configuration","Allgemeine Konfiguration"
"IMPORTANT: BEFORE ALL PLEASE SELECT THE STORE TO CONFIGURE IN THE TOP-LEFT MENU.","WICHTIG: VOR ALLE BITTE WÄHLEN SIE DEN SPEICHERN, UM IN DER TOP-LINKEN MENÜ ZU KONFIGURIEREN."
"Enable Module in this view","Modul in dieser Ansicht aktivieren"
"By activating the module, you will reap your website and product reviews. Go to the advanced configuration if you want to change the product reviews configuration.","Durch die Aktivierung des Moduls erobern Sie Ihre Website und Produktbewertungen. Gehen Sie zur erweiterten Konfiguration, wenn Sie die Produktbewertungen ändern möchten."
"Secret Key","Geheimer Schlüssel"
"Website ID","Website ID"
"Advanced Configuration","Erweiterte Konfiguration"
"Add reviews to product page","Bewertungen zur Produktseite hinzufügen"
"This configuration is used to add the product reviews block in the product page.","Diese Konfiguration wird verwendet, um den Produktbelegungsblock auf der Produktseite hinzuzufügen."
"jQuery present on the site?","jQuery auf der Website?"
"Change this to yes, if jQuery is already used on the site.","Ändern Sie dies zu ja, wenn jQuery bereits auf der Website verwendet wird."
"Activate the Rich-Snippets in the product page","Aktiviere die Rich-Snippets auf der Produktseite"
"Use the SKU or the ID to identify products","Verwenden Sie den SKU oder die ID, um Produkte zu identifizieren"
"ATTENTION! OPTION ONLY RESERVED FOR VERIFIED-REVIEWS TEAM. Change it only if our team contact you.","ACHTUNG! OPTION NUR FÜR ÜBERPRÜFUNG-ÜBERPRÜFUNG TEAM. Ändern Sie es nur, wenn unser Team Sie kontaktieren."
"Use the data of the Parent product.","Verwenden Sie die Daten des übergeordneten Produkts."
"Google Shopping - Product Data (PLA)","Google Shopping - Produktdaten (PLA)"
"Fields Mapping","Feldmapping"
"IMPORTANT: Before all please select the STORE where you already configured the module, otherwise Google Shopping won't recognize your product data. Then UNCHECK ONLY THE FIELDS that you are sure to get extra product data for Google Shopping.","WICHTIG: Vor allen bitte wählen Sie die STORE, wo sie das modul bereits konfigurieren, sonst wird Google Shopping Ihre Produktdaten nicht erkennen. Dann NUR DIE FELDER UNHÄNGEN, dass Sie sicherstellen, dass Sie zusätzliche Produktdaten für Google Shopping erhalten."
"Google Shopping PLA can only be configured in STORES view, please select in the top-left menu the STORE that you want to configure.","Google Shopping PLA kann nur in STORES konfiguriert werden, bitte wählen Sie im oberen linken Menü die STORE, die Sie konfigurieren möchten."
"ID","ID"
"WARNING! ID is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WARNUNG! ID ist schon von deinen Produkten erhalten, ändere es nur, wenn du sicher bist, dass das Modul eine falsche Daten sammelt."
"SKU","SKU"
